Name,Price,Brand,Speed,Spin,Control,Tackiness,Weight,Sponge Hardness,Gears,Throw Angle,Consistency,Durability
Andro NUZN 55,$69.95,Andro,9.6,9.5,9.0,2.2,7.3,8.8,8.3,6.4,9.4,8.4
Donic Bluestorm Pro AM,$59.95,Donic,9.1,9.5,9.2,1.4,5.3,6.8,9.4,5.6,9.3,7.8
Tibhar Hybrid MK,$66.95,Tibhar,8.9,9.1,9.3,2.5,4.1,6.5,8.7,6.0,10.0,6.2
Nittaku Hammond Z2,$59.95,Nittaku,9.3,9.3,9.1,2.1,3.6,6.8,8.4,6.5,9.5,8.1
Tibhar Hybrid K1 European Version,TBD,Tibhar,9.1,9.5,9.2,5.5,5.2,7.9,9.0,6.0,9.6,8.4
Victas V > 22 Double Extra,TBD,Victas,9.2,9.5,9.4,2.7,5.4,6.9,8.0,5.5,9.3,6.6
DHS Hurricane 3 National (Blue Sponge),$125.95,DHS,9.2,9.6,9.2,8.5,6.3,8.1,9.4,5.6,9.4,8.4
Victas TRIPLE Double Extra,TBD,Victas,9.2,9.5,9.1,9.4,7.8,9.7,9.7,3.6,9.4,5.3
DHS Gold Arc 9,TBD,DHS,9.0,9.4,9.1,0.5,4.5,6.8,9.4,6.4,10.0,7.9
Donic Bluefire M1 Turbo,$52.95,Donic,9.5,9.4,8.5,2.6,6.3,7.8,9.1,6.3,9.4,7.4
Donic Acuda Blue P2,TBD,Donic,9.0,9.4,9.1,2.8,4.0,4.4,8.2,4.5,9.1,7.3
Victas V > 20 Double Extra,TBD,Victas,9.1,9.5,8.9,1.7,6.0,7.6,9.1,6.4,10.0,6.5
Yasaka Rakza 9,$52.95,Yasaka,9.4,9.3,8.9,2.3,4.6,6.3,8.8,4.3,9.3,8.7
Tibhar 1Q XD,TBD,Tibhar,9.4,9.1,8.3,3.5,6.0,7.4,8.6,6.0,9.4,8.2
JOOLA Rhyzm-P,TBD,JOOLA,9.2,9.4,9.3,2.3,4.4,5.9,8.8,5.5,9.6,8.6
Andro Rasanter R50,TBD,Andro,9.4,9.4,8.7,1.8,6.5,8.3,9.2,5.9,9.3,8.3
Tibhar Evolution MX-S,$59.95,Tibhar,9.2,9.5,9.1,2.4,6.6,7.6,9.0,5.1,9.2,7.5
Gewo NanoFlex FT48,TBD,Gewo,9.4,9.4,9.1,1.0,4.9,6.7,8.8,5.3,9.2,8.1
Xiom Omega V Asia,TBD,Xiom,9.4,9.5,9.1,2.1,5.8,7.7,9.1,6.1,9.7,8.7
JOOLA Dynaryz AGR,TBD,JOOLA,9.3,9.4,9.0,1.6,5.1,6.9,7.4,5.5,8.9,7.3
Andro Hexer Powergrip,$47.95,Andro,9.2,9.3,9.3,1.2,5.4,6.8,8.9,5.7,9.9,8.1
Andro Rasant,TBD,Andro,9.2,9.3,9.0,2.1,5.2,5.5,8.9,5.6,9.5,8.4
Gewo Flexxon,TBD,Gewo,9.2,9.4,9.2,2.5,4.8,6.8,8.2,4.3,9.4,8.2
Adidas P7,TBD,Adidas,8.8,9.5,9.1,2.1,4.4,6.5,9.0,6.1,9.5,8.4
DHS Hurricane 3 Provincial (No. 22 Blue Sponge),TBD,DHS,9.2,9.4,9.3,7.6,6.5,7.8,8.7,5.9,8.6,8.5
Yasaka Valmo,TBD,Yasaka,9.2,9.2,9.0,2.1,4.7,6.4,8.6,4.6,9.2,9.2
Butterfly Tenergy 25 FX,$79.99,Butterfly,9.1,9.2,8.9,2.7,4.4,4.1,9.0,4.8,9.6,8.4
Andro Rasanter R45,$57.95,Andro,8.9,9.2,9.2,0.8,4.8,4.5,6.7,5.8,8.7,6.8
Xiom Omega IV Asia,TBD,Xiom,9.2,9.0,8.8,2.3,4.5,7.2,8.8,5.4,9.6,7.9
Tibhar Nianmor,TBD,Tibhar,9.3,9.2,8.1,2.8,5.0,7.3,9.0,5.2,8.6,8.3
TSP Super Ventus,TBD,TSP,9.2,9.5,9.4,1.4,5.8,6.8,9.4,5.2,9.5,9.0
JOOLA MAXXX-P,TBD,JOOLA,9.1,9.3,9.4,2.1,4.2,5.0,8.3,4.8,8.9,8.7
Yasaka Rakza Z Extra Hard,$54.95,Yasaka,9.1,9.4,8.9,6.9,7.9,9.6,8.8,5.8,9.8,8.4
Andro Rasant Grip,TBD,Andro,9.1,9.4,9.1,2.4,5.6,5.5,8.7,4.9,9.5,8.3
Tibhar Genius Sound,TBD,Tibhar,8.7,9.5,8.9,2.7,3.4,2.7,7.5,6.1,9.4,7.4
DHS NEO Hurricane 3 National (Blue Sponge),TBD,DHS,9.1,9.4,9.1,7.7,6.6,7.9,9.1,6.1,8.8,7.5
Andro Rasanter C48,$59.95,Andro,8.8,9.3,9.2,4.3,5.1,6.5,8.0,6.1,9.6,6.3
Victas VJ > 07 Stiff,TBD,Victas,9.0,9.3,9.3,0.4,4.0,4.8,8.6,4.5,9.4,8.8
Andro Rasant PowerGrip,TBD,Andro,9.4,9.3,9.0,2.1,6.6,7.9,8.9,5.6,9.6,8.0
Victas V > 01 Limber,TBD,Victas,8.7,9.4,9.4,1.4,3.5,3.6,8.5,4.9,9.6,8.1
DHS Gold Arc 8,TBD,DHS,9.4,9.3,9.1,2.0,5.9,6.7,8.7,5.7,9.4,8.3
TSP Ventus Spin,TBD,TSP,8.8,9.4,9.3,1.4,2.8,3.2,8.3,6.2,9.7,8.2
Friendship/729 Battle II Provincial,TBD,Friendship/729,8.9,9.4,9.1,8.6,6.1,8.5,9.4,3.7,9.1,8.6
Donic BlueGrip C2,$52.95,Donic,9.2,9.4,9.1,5.5,6.5,9.1,9.1,7.3,9.7,7.6
Butterfly Tenergy 80,$79.99,Butterfly,9.3,9.4,9.0,2.1,5.5,5.4,9.0,5.9,9.1,7.7
Donic BlueStar A1,$69.95,Donic,9.4,9.4,8.8,2.3,6.8,9.6,9.1,6.1,9.4,7.7
Xiom Sigma 1 Euro,TBD,Xiom,9.3,9.3,9.1,1.9,5.4,5.5,9.0,4.9,9.8,8.7
Victas Ventus Extra,TBD,Victas,9.2,9.4,9.4,0.9,5.8,6.8,9.2,4.7,9.6,9.4
Tibhar 5Q,TBD,Tibhar,8.8,9.3,8.7,2.7,4.4,5.4,7.8,6.0,9.7,8.4
Yasaka Rigan Spin,TBD,Yasaka,8.7,9.3,9.4,1.8,4.2,4.8,8.9,4.2,9.4,9.3
